연번,품 명,규 격,수수료
가구류,침대,일반 2인용(매트리스 1개 포함),18000
가구류,침대,일반 1인용(매트리스 1개 포함),13000
가구류,침대,"돌(흙,옥,황토)침대 2인용",36000
가구류,침대,"돌(흙,옥,황토)침대 1인용",24000
가구류,침대,침대프레임(일반) 2인용,7000
가구류,침대,침대프레임(일반) 1인용,5000
가구류,침대,침대프레임(평상형) 2인용,15000
가구류,침대,침대프레임(평상형) 1인용,11000
가구류,침대,매트리스 2인용,11000
가구류,침대,매트리스 1인용,9000
가구류,침대,"라텍스, 매트리스(포켓) 2인용",14000
가구류,침대,"라텍스, 매트리스(포켓) 1인용",10000
가구류,침대,유아용(매트리스 포함),9000
가구류,소파,5인용 이상,17000
가구류,소파,3인용,12000
가구류,소파,2인용,9000
가구류,소파,1인용,5000
가구류,장롱,120㎝ 이상 1짝,17000
가구류,장롱,90㎝ 이상 1짝,14000
가구류,장롱,90㎝ 미만 1짝,10000
가구류,서랍장,5단 이상,10000
가구류,서랍장,5단 미만,6000
가구류,"책장, 장식장, 진열장,찬장등 (세로형)",가로 120cm 이상,14000
가구류,"책장, 장식장, 진열장,찬장등 (세로형)",가로 90cm 이상 120cm 미만,12000
가구류,"책장, 장식장, 진열장,찬장등 (세로형)",가로 90cm 미만,9000
가구류,장식장(가로),120㎝ 이상,10000
가구류,장식장(가로),90~120㎝ 미만,9000
가구류,장식장(가로),90㎝ 미만,7000
가구류,화장대,90㎝ 이상,8000
가구류,화장대,90㎝ 미만,5000
가구류,신발장,가로 1m 이상,7000
가구류,신발장,가로 1m 미만,5000
가구류,캐비닛,높이 1m 이상,8000
가구류,캐비닛,높이 1m 미만,4000
가구류,옷걸이,모든 규격,2000
가구류,책상,서랍장 2개 혹은 1m 이상,8000
가구류,책상,서랍장 1개 혹은 1m 미만,5000
가구류,책상,책상+책장 세트,12000
가구류,책꽂이,50cm×50cm 이하,2000
가구류,식 탁,6인용 이상,7000
가구류,식 탁,6인용 미만,5000
가구류,식 탁,대리석 6인용 이상,17000
가구류,식 탁,대리석 6인용 미만,13000
가구류,의자,"목재, 철재",2000
가구류,의자,"목재, 철재 외",3000
가구류,의자,"회전, 안락, 사무용 의자",5000
가구류,의자,안마의자,30000
가구류,싱크대,1m 이상 1짝당,10000
가구류,싱크대,1m 미만 1짝당,7000
가구류,싱크찬장,1칸,4000
가구류,싱크찬장,2칸,4000
가구류,상,6인용 이상,3000
가구류,상,4인용,2000
가구류,상,2인용,1000
